Encoder,Name_Model,Score
label,svc,20.42599672310213
onehot,svc,18.13216821409066
basen,bagging,19.279082468596396
similarity,svc,18.569087930092845
minhash,svc,20.480611687602405
gap,svc,18.569087930092845
