Course Code,Course Name,Course Type,Course Status,Country/Territory,Course Skill,Priority,Training Provider,Managed Type,Delivery Tool Platform,Display Course Type,Specialization,Course Hours,Estimated Housing,Estimated Transportation,Estimated Tuition,Estimated Other,Year,Main Domain,Classes
B61829,Business Communication and Emotional Intelligence,Classroom,Active,Mauritius,Broadcasting Media,Discretionary,Accenture Local,Local,MS Teams,Virtual,Media,36.0,0.0,0.0,0.0,0.0,2022,Cross Accenture,Class 2
B61829,Business Communication and Emotional Intelligence,Classroom,Active,Mauritius,Broadcasting Media,Discretionary,Accenture Local,Local,MS Teams,Virtual,Media,36.0,0.0,0.0,0.0,0.0,2022,Cross Accenture,Class 2
B63137,ECDL Luminary Speaker Session,Classroom,Active,France,Critical Thinking,Discretionary,Accenture Local,Central,MS Teams,Virtual,-,2.0,0.0,0.0,20.0,0.0,2021,Cross Accenture,Class 3
B63137,ECDL Luminary Speaker Session,Classroom,Active,France,Critical Thinking,Discretionary,Accenture Local,Central,MS Teams,Virtual,-,2.0,0.0,0.0,20.0,0.0,2021,Cross Accenture,Class 3
B65466,Borderless Creativity – a learning series (Cannes Lions),Classroom,Active,France,Digital Advertising Operations,Discretionary,Accenture Central,Central,MS Teams,Virtual,Software & Platforms,1.0,0.0,0.0,50.0,0.0,2021,Cross Accenture,Class 10
B65466,Borderless Creativity – a learning series (Cannes Lions),Classroom,Active,France,Digital Advertising Operations,Discretionary,Accenture Central,Central,MS Teams,Virtual,Software & Platforms,1.0,0.0,0.0,50.0,0.0,2021,Cross Accenture,Class 10
B65711,Virtual : Formation TalentSoft Introduction,Classroom,Active,France,HR Strategy,Discretionary,TalentSoft,Local,MS Teams,Virtual,HR Transformation,38.5,0.0,0.0,22088.0,0.0,2021,Cross Accenture,Class 0
B65711,Virtual : Formation TalentSoft Introduction,Classroom,Active,France,HR Strategy,Discretionary,TalentSoft,Local,MS Teams,Virtual,HR Transformation,38.5,0.0,0.0,22088.0,0.0,2021,Cross Accenture,Class 0
B66996,VIRTUAL - Formation Mirakl,Classroom,Active,France,eCommerce Design & Development,Discretionary,Accenture Local,Local,MS Teams,Virtual,Digital Commerce,12.0,0.0,0.0,0.0,0.0,2021,Cross Accenture,Class 1
B66996,VIRTUAL - Formation Mirakl,Classroom,Active,France,eCommerce Design & Development,Discretionary,Accenture Local,Local,MS Teams,Virtual,Digital Commerce,12.0,0.0,0.0,0.0,0.0,2021,Cross Accenture,Class 1
B69773,ECDL - Learning Expereince Session,Classroom,Active,France,Critical Thinking,Discretionary,Accenture Local,Central,MS Teams,Virtual,-,2.0,0.0,0.0,30.0,0.0,2021,Cross Accenture,Class 2
B69773,ECDL - Learning Expereince Session,Classroom,Active,France,Critical Thinking,Discretionary,Accenture Local,Central,MS Teams,Virtual,-,2.0,0.0,0.0,30.0,0.0,2021,Cross Accenture,Class 2
B69774,ECDL Luminary Speaker Session 2,Classroom,Active,France,Critical Thinking,Discretionary,Accenture Local,Central,MS Teams,Virtual,-,2.0,0.0,0.0,25.0,0.0,2021,Cross Accenture,Class 4
B69774,ECDL Luminary Speaker Session 2,Classroom,Active,France,Critical Thinking,Discretionary,Accenture Local,Central,MS Teams,Virtual,-,2.0,0.0,0.0,25.0,0.0,2021,Cross Accenture,Class 4
B71837,Recruter sans discriminer,Classroom,Active,France,Recruitment Strategy,Discretionary,ACCORDIA,Local,MS Teams,Virtual,Recruiting,7.0,0.0,0.0,1510.4,0.0,2021,Leadership Development,Class 1
B72026,DS Awareness,Classroom,Active,France,Dassault Systemes 3DEXPERIENCE,Discretionary,Accenture Local,Local,MS Teams,Virtual,Engineering,1.0,0.0,0.0,0.0,0.0,2021,Cross Accenture,Class 2
B72026,DS Awareness,Classroom,Active,France,Dassault Systemes 3DEXPERIENCE,Discretionary,Accenture Local,Local,MS Teams,Virtual,Engineering,1.0,0.0,0.0,0.0,0.0,2021,Cross Accenture,Class 2
B73416,Leadership 1,Classroom,Active,France,Leadership Development,Discretionary,DIAFORA,Local,MS Teams,Virtual,"Organization, Leadership & Culture",14.0,0.0,0.0,3601.95,0.0,2021,Leadership Development,Class 0
B80099,SAP commerce cloud,Classroom,Active,France,SAP Hybris Commerce,Discretionary,Accenture Local,Local,MS Teams,Virtual,Digital Commerce,70.0,0.0,0.0,0.0,0.0,2022,Cloud First,Class 0
B80099,SAP commerce cloud,Classroom,Active,France,SAP Hybris Commerce,Discretionary,Accenture Local,Local,MS Teams,Virtual,Digital Commerce,70.0,0.0,0.0,0.0,0.0,2022,Cloud First,Class 0
B81586,Atelier 2Tonnes,Classroom,Active,France,Climate Change & Sustainability,Discretionary,Couleur du web,Local,MS Teams,Virtual,Energy Transition,2.0,0.0,0.0,383.49,0.0,2021,Cross Accenture,Class 3
B81586,Atelier 2Tonnes,Classroom,Active,France,Climate Change & Sustainability,Discretionary,Couleur du web,Local,MS Teams,Virtual,Energy Transition,2.0,0.0,0.0,383.49,0.0,2021,Sustainability,Class 3
B81586,Atelier 2Tonnes,Classroom,Active,France,Climate Change & Sustainability,Discretionary,Couleur du web,Local,MS Teams,Virtual,Energy Transition,2.0,0.0,0.0,255.66,0.0,2022,Cross Accenture,Class 5
B81586,Atelier 2Tonnes,Classroom,Active,France,Climate Change & Sustainability,Discretionary,Couleur du web,Local,MS Teams,Virtual,Energy Transition,2.0,0.0,0.0,255.66,0.0,2022,Sustainability,Class 5
B83613,MES MOM Mondays,Classroom,Active,France,Manufacturing Engineering MES,Discretionary,SAP,Central,MS Teams,Virtual,Manufacturing,3.0,0.0,0.0,20.0,0.0,2021,IPS,Class 1
B83613,MES MOM Mondays,Classroom,Active,France,Manufacturing Engineering MES,Discretionary,SAP,Central,MS Teams,Virtual,Manufacturing,3.0,0.0,0.0,20.0,0.0,2021,IPS,Class 1
B83613,MES MOM Mondays,Classroom,Active,France,Manufacturing Engineering MES,Discretionary,SAP,Central,MS Teams,Virtual,Manufacturing,3.0,0.0,0.0,10.0,0.0,2022,IPS,Class 1
B83613,MES MOM Mondays,Classroom,Active,France,Manufacturing Engineering MES,Discretionary,SAP,Central,MS Teams,Virtual,Manufacturing,3.0,0.0,0.0,10.0,0.0,2022,IPS,Class 1
B83834,Microsoft Teams - Productivity Tips & Tricks (CIO Technology Workshop),Classroom,Active,France,Collaboration,Discretionary,Accenture Local,Local,MS Teams,Virtual,-,1.0,0.0,0.0,0.0,0.0,2021,Cross Technology,Class 11
B83834,Microsoft Teams - Productivity Tips & Tricks (CIO Technology Workshop),Classroom,Active,France,Collaboration,Discretionary,Accenture Local,Local,MS Teams,Virtual,-,1.0,0.0,0.0,0.0,0.0,2021,Cross Technology,Class 11
B83834,Microsoft Teams - Productivity Tips & Tricks (CIO Technology Workshop),Classroom,Active,France,Collaboration,Discretionary,Accenture Local,Local,MS Teams,Virtual,-,1.0,0.0,0.0,0.0,0.0,2022,Cross Technology,Class 11
B83834,Microsoft Teams - Productivity Tips & Tricks (CIO Technology Workshop),Classroom,Active,France,Collaboration,Discretionary,Accenture Local,Local,MS Teams,Virtual,-,1.0,0.0,0.0,0.0,0.0,2022,Cross Technology,Class 11
B84707,Europe Cloud First Sales Enablement,Classroom,Active,France,Account Sales Planning,Discretionary,Accenture Central,Central,MS Teams,Virtual,-,1.0,0.0,0.0,6.800000000000001,0.0,2021,Cloud First,Class 11
B84707,Europe Cloud First Sales Enablement,Classroom,Active,France,Account Sales Planning,Discretionary,Accenture Central,Central,MS Teams,Virtual,-,1.0,0.0,0.0,6.800000000000001,0.0,2021,Cloud First,Class 11
B84707,Europe Cloud First Sales Enablement,Classroom,Active,France,Account Sales Planning,Discretionary,Accenture Central,Central,MS Teams,Virtual,-,1.0,0.0,0.0,3.4,0.0,2022,Cloud First,Class 11
B84707,Europe Cloud First Sales Enablement,Classroom,Active,France,Account Sales Planning,Discretionary,Accenture Central,Central,MS Teams,Virtual,-,1.0,0.0,0.0,3.4,0.0,2022,Cloud First,Class 11
B85396,MKT101: Création et analyse des parcours clients à l'aide de marketing Cloud,Classroom,Active,France,Salesforce Marketing Cloud,Discretionary,ISDI,Local,MS Teams,Virtual,Salesforce Marketing,35.0,0.0,0.0,0.0,0.0,2021,Cloud First,Class 1
B85396,MKT101: Création et analyse des parcours clients à l'aide de marketing Cloud,Classroom,Active,France,Salesforce Marketing Cloud,Discretionary,ISDI,Local,MS Teams,Virtual,Salesforce Marketing,35.0,0.0,0.0,0.0,0.0,2021,Cloud First,Class 1
B85720,Motion Design by Accenture,Classroom,Active,France,Content Marketing Strategy,Discretionary,Accenture Local,Local,MS Teams,Virtual,Content and Brand Strategy,40.0,0.0,0.0,0.0,0.0,2022,Cross Accenture,Class 1
B85720,Motion Design by Accenture,Classroom,Active,France,Content Marketing Strategy,Discretionary,Accenture Local,Local,MS Teams,Virtual,Content and Brand Strategy,40.0,0.0,0.0,0.0,0.0,2022,Cross Accenture,Class 1
B85799,Virtual Formation Kafka : Confluent Developer,Classroom,Active,France,Apache Kafka,Discretionary,ZENIKA,Local,MS Teams,Virtual,Mobility Platforms,21.0,0.0,0.0,1982.4,0.0,2021,Cross Accenture,Class 0
B85799,Virtual Formation Kafka : Confluent Developer,Classroom,Active,France,Apache Kafka,Discretionary,ZENIKA,Local,MS Teams,Virtual,Mobility Platforms,21.0,0.0,0.0,1982.4,0.0,2021,Cross Accenture,Class 0
B87725,Offering of Value Led AM Training,Classroom,Active,France,Solution Architecting,Discretionary,Accenture Central,Central,MS Teams,Virtual,-,4.0,0.0,0.0,20.0,0.0,2021,Cross Accenture,Class 1
B87725,Offering of Value Led AM Training,Classroom,Active,France,Solution Architecting,Discretionary,Accenture Central,Central,MS Teams,Virtual,-,4.0,0.0,0.0,20.0,0.0,2021,Cross Accenture,Class 1
B87725,Offering of Value Led AM Training,Classroom,Active,France,Solution Architecting,Discretionary,Accenture Central,Central,MS Teams,Virtual,-,4.0,0.0,0.0,40.0,0.0,2022,Cross Accenture,Class 3
B87725,Offering of Value Led AM Training,Classroom,Active,France,Solution Architecting,Discretionary,Accenture Central,Central,MS Teams,Virtual,-,4.0,0.0,0.0,40.0,0.0,2022,Cross Accenture,Class 3
B91527,Google Cloud Learning SPARK (Accelerated) Certification Prep,Classroom,Active,France,Google Cloud Platform Administration,Discretionary,Google,Central,MS Teams,Virtual,Cloud Operations Management,40.0,0.0,0.0,15.0,0.0,2021,Cloud First,Class 3
B91527,Google Cloud Learning SPARK (Accelerated) Certification Prep,Classroom,Active,France,Google Cloud Platform Administration,Discretionary,Google,Central,MS Teams,Virtual,Cloud Operations Management,40.0,0.0,0.0,15.0,0.0,2021,Cloud First,Class 3
B91527,Google Cloud Learning SPARK (Accelerated) Certification Prep,Classroom,Active,France,Google Cloud Platform Administration,Discretionary,Accenture Central,Central,MS Teams,Virtual,Cloud Operations Management,40.0,0.0,0.0,15.0,0.0,2022,Cloud First,Class 6
B91527,Google Cloud Learning SPARK (Accelerated) Certification Prep,Classroom,Active,France,Google Cloud Platform Administration,Discretionary,Accenture Central,Central,MS Teams,Virtual,Cloud Operations Management,40.0,0.0,0.0,15.0,0.0,2022,Cloud First,Class 6
B96436,FindTime - An Overview (CIO Technology Workshop),Classroom,Active,France,Collaboration,Discretionary,Accenture Local,Local,MS Teams,Virtual,-,0.8,0.0,0.0,0.0,0.0,2021,Cross Technology,Class 9
B96436,FindTime - An Overview (CIO Technology Workshop),Classroom,Active,France,Collaboration,Discretionary,Accenture Local,Local,MS Teams,Virtual,-,0.8,0.0,0.0,0.0,0.0,2021,Cross Technology,Class 9
B96436,FindTime - An Overview (CIO Technology Workshop),Classroom,Active,France,Collaboration,Discretionary,Accenture Local,Local,MS Teams,Virtual,-,1.0,0.0,0.0,0.0,0.0,2022,Cross Technology,Class 10
B96436,FindTime - An Overview (CIO Technology Workshop),Classroom,Active,France,Collaboration,Discretionary,Accenture Local,Local,MS Teams,Virtual,-,1.0,0.0,0.0,0.0,0.0,2022,Cross Technology,Class 10
CXS300,Leadership Development Program (LDP) Journey,Classroom,Active,France,Collaboration,Discretionary,Accenture Central,Central,MS Teams,Virtual,-,58.0,0.0,720.0,1250.0,0.0,2020,Leadership Development,Class 10
CXS300,Leadership Development Program (LDP) Journey,Classroom,Active,France,Collaboration,Discretionary,Accenture Central,Central,MS Teams,Virtual,-,58.0,0.0,720.0,1250.0,0.0,2020,Leadership Development,Class 10
CXS300,Leadership Development Program (LDP) Journey,Classroom,Active,France,Collaboration,Discretionary,Accenture Central,Central,MS Teams,Virtual,-,58.0,0.0,0.0,615.0,0.0,2021,Leadership Development,Class 11
CXS300,Leadership Development Program (LDP) Journey,Classroom,Active,France,Collaboration,Discretionary,Accenture Central,Central,MS Teams,Virtual,-,58.0,0.0,0.0,615.0,0.0,2021,Leadership Development,Class 11
ICI-ICF2,ICF User,Classroom,Cancelled,France,Budgeting and Forecasting,Discretionary,Accenture Local,Local,Live Meeting,Classroom,Strategic Cost Reduction,2.0,0.0,0.0,0.0,0.0,2020,Leadership Development,Class 0
IDCAGL012,Certified Scrum Master Course,Classroom,Active,France,Scrum,Discretionary,Accenture IDC,Local,MS Teams,Virtual,Agile,18.0,0.0,0.0,0.0,0.0,2021,Core Curriculum,Class 0
IDCAGL012,Certified Scrum Master Course,Classroom,Active,France,Scrum,Discretionary,Accenture IDC,Local,MS Teams,Virtual,Agile,18.0,0.0,0.0,0.0,0.0,2021,Core Curriculum,Class 0
IDCAGL013,SAFe Agilist training,Classroom,Active,France,Agile Program Management,Discretionary,Accenture IDC,Local,MS Teams,Virtual,Agile,18.0,0.0,0.0,0.0,0.0,2020,Core Curriculum,Class 5
IDCTST228,MicroFocus LoadRunner Training,Classroom,Active,France,Test Automation Strategy,Discretionary,Accenture Local,Local,MS Teams,Virtual,Test Automation,18.0,0.0,0.0,0.0,0.0,2020,Cross Accenture,Class 0
INDTRG811,"Networking - Automation , Artificial Intelligence (AI), Machine Learning (ML) and Machine Reasoning (MR)",Classroom,Cancelled,France,Artificial Intelligence(AI),Discretionary,Accenture IDC,Central,Centra,Classroom,Applied Intelligence Strategy,4.0,0.0,0.0,0.0,0.0,2020,Cross Accenture,Class 0
ISA-Brownbag-PowerAutomate,ISA Brown Bag sessions - Power Automate,Classroom,Cancelled,France,Automation Anywhere,Discretionary,Accenture Local,Local,Live Meeting,Classroom,Intelligent Process Automation,1.0,0.0,0.0,0.0,0.0,2020,Cross Accenture,Class 7
ISA-Global-MHA,CIO and ISA Mental Health Allies training,Classroom,Cancelled,France,-,Discretionary,Accenture Local,Local,MS Teams,Virtual,-,2.0,0.0,0.0,0.0,0.0,2020,Cross Accenture,Class 0
ISA-Global-MHA,CIO and ISA Mental Health Allies training,Classroom,Cancelled,Mauritius,-,Discretionary,Accenture Local,Local,MS Teams,Virtual,-,3.0,0.0,0.0,0.0,0.0,2019,Cross Accenture,Class 0
