Course Code_0,Course Code_1,Course Code_2,Course Code_3,Course Code_4,Course Name_0,Course Name_1,Course Name_2,Course Name_3,Course Name_4,Course Type,Course Status,Country/Territory,Course Skill_0,Course Skill_1,Course Skill_2,Course Skill_3,Priority,Training Provider_0,Training Provider_1,Training Provider_2,Training Provider_3,Managed Type,Delivery Tool Platform,Display Course Type,Specialization_0,Specialization_1,Specialization_2,Specialization_3,Course Hours,Estimated Housing,Estimated Transportation,Estimated Tuition,Estimated Other,Year,Participants,Main Domain_0,Main Domain_1
0,0,0,2,3,0,0,0,2,3,0,0,1,0,0,2,2,0,0,0,0,3,0,6,1,0,0,0,1,80.0,0.0,0.0,20.0,0.0,2020,3.0,0,1
0,0,0,2,4,0,0,0,2,4,0,0,1,0,0,2,3,0,0,0,0,2,1,6,1,0,0,0,1,2.0,0.0,0.0,0.0,0.0,2021,16.0,0,2
0,0,0,2,4,0,0,0,2,4,0,0,1,0,0,2,3,0,0,0,0,2,1,6,1,0,0,0,1,2.0,0.0,0.0,0.0,0.0,2021,16.0,0,2
0,0,0,2,4,0,0,0,2,4,0,0,1,0,0,2,3,0,0,0,0,2,1,6,1,0,0,0,1,2.0,0.0,0.0,0.0,0.0,2022,18.0,0,2
0,0,0,2,4,0,0,0,2,4,0,0,1,0,0,2,3,0,0,0,0,2,1,6,1,0,0,0,1,2.0,0.0,0.0,0.0,0.0,2022,18.0,0,2
0,0,0,3,0,0,0,0,3,0,0,1,1,0,0,0,1,0,0,0,0,2,1,6,1,0,0,0,1,8.0,0.0,0.0,0.0,0.0,2020,19.0,0,1
0,0,0,3,1,0,0,0,3,1,0,0,1,0,0,2,0,0,0,0,1,1,1,6,1,0,0,1,3,3.0,0.0,0.0,4.0,0.0,2021,135.0,1,0
0,0,0,3,1,0,0,0,3,1,0,0,1,0,0,2,0,0,0,0,1,1,1,6,1,0,0,1,3,3.0,0.0,0.0,4.0,0.0,2021,135.0,1,0
0,0,0,3,2,0,0,0,3,2,0,0,1,0,0,2,4,0,0,0,0,3,0,6,1,0,0,2,0,40.0,0.0,0.0,600.0,0.0,2020,1.0,0,1
0,0,0,3,2,0,0,0,3,2,0,0,1,0,0,2,4,0,0,0,0,3,0,6,1,0,0,2,0,40.0,0.0,0.0,600.0,0.0,2020,1.0,0,1
0,0,0,3,2,0,0,0,3,2,0,0,1,0,0,2,4,0,0,0,0,3,0,6,1,0,0,2,0,40.0,0.0,0.0,700.0,0.0,2021,3.0,0,1
0,0,0,3,2,0,0,0,3,2,0,0,1,0,0,2,4,0,0,0,0,3,0,6,1,0,0,2,0,40.0,0.0,0.0,700.0,0.0,2021,3.0,0,1
0,0,0,3,3,0,0,0,3,3,0,1,1,0,0,3,0,0,0,0,0,3,0,6,1,0,0,2,1,1.5,0.0,0.0,50.0,0.0,2020,2.0,1,1
0,0,0,3,4,0,0,0,3,4,0,1,1,0,0,0,1,0,0,0,0,2,1,6,1,0,0,0,1,8.0,0.0,0.0,0.0,0.0,2020,9.0,0,4
0,0,0,4,0,0,0,0,4,0,0,1,1,0,0,3,1,0,0,0,0,2,1,6,1,0,0,2,2,16.0,0.0,0.0,0.0,0.0,2020,6.0,0,4
0,0,0,4,1,0,0,0,4,1,0,1,1,0,0,3,2,0,0,0,1,2,1,6,1,0,0,2,3,1.0,0.0,0.0,0.0,0.0,2020,26.0,1,0
0,0,0,4,2,0,0,0,4,2,0,1,1,0,0,0,1,0,0,0,0,2,1,6,1,0,0,0,1,24.0,0.0,0.0,0.0,0.0,2020,19.0,0,2
0,0,0,4,3,0,0,0,4,3,0,1,1,0,0,0,1,0,0,0,0,2,1,6,1,0,0,0,1,24.0,0.0,0.0,0.0,0.0,2020,6.0,0,2
0,0,0,4,3,0,0,0,4,3,0,1,1,0,0,0,1,0,0,0,0,2,1,6,1,0,0,0,1,24.0,0.0,0.0,0.0,0.0,2020,6.0,0,2
0,0,0,4,3,0,0,0,4,3,0,1,1,0,0,0,1,0,0,0,0,2,1,6,1,0,0,0,1,24.0,0.0,0.0,0.0,0.0,2021,10.0,0,2
0,0,0,4,3,0,0,0,4,3,0,1,1,0,0,0,1,0,0,0,0,2,1,6,1,0,0,0,1,24.0,0.0,0.0,0.0,0.0,2021,10.0,0,2
0,0,0,4,4,0,0,0,4,4,0,1,1,0,0,0,1,0,0,0,0,2,1,6,1,0,0,0,1,8.0,0.0,0.0,0.0,0.0,2021,3.0,0,2
0,0,0,4,4,0,0,0,4,4,0,1,1,0,0,0,1,0,0,0,0,2,1,6,1,0,0,0,1,8.0,0.0,0.0,0.0,0.0,2021,3.0,0,2
0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,3,3,0,0,0,0,2,1,6,1,0,0,2,4,1.5,0.0,0.0,0.0,0.0,2020,39.0,0,1
0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,2,1,6,1,0,0,0,1,21.0,0.0,0.0,0.0,0.0,2020,14.0,0,1
0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,2,1,6,1,0,0,0,1,21.0,0.0,0.0,0.0,0.0,2020,14.0,0,1
0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,2,1,6,1,0,0,0,1,21.0,0.0,0.0,0.0,0.0,2021,21.0,0,1
0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,2,1,6,1,0,0,0,1,21.0,0.0,0.0,0.0,0.0,2021,21.0,0,1
0,0,1,0,2,0,0,1,0,2,0,1,1,0,0,3,4,0,0,0,0,2,1,6,1,0,0,0,1,16.0,0.0,0.0,0.0,0.0,2021,7.0,0,2
0,0,1,0,2,0,0,1,0,2,0,1,1,0,0,3,4,0,0,0,0,2,1,6,1,0,0,0,1,16.0,0.0,0.0,0.0,0.0,2021,7.0,0,2
0,0,1,0,3,0,0,1,0,3,0,1,1,0,0,4,0,0,0,0,0,2,1,6,1,0,0,3,0,1.5,0.0,0.0,0.0,0.0,2020,52.0,0,1
0,0,1,0,4,0,0,1,0,4,0,0,1,0,0,4,1,0,0,0,0,2,1,6,1,0,0,3,1,1.0,0.0,0.0,0.0,0.0,2019,28.0,0,1
0,0,1,0,4,0,0,1,0,4,0,0,1,0,0,4,1,0,0,0,0,2,1,6,1,0,0,3,1,1.0,0.0,0.0,0.0,0.0,2019,28.0,0,1
0,0,1,0,4,0,0,1,0,4,0,0,1,0,0,4,1,0,0,0,0,2,1,6,1,0,0,3,1,1.0,0.0,0.0,0.0,0.0,2020,340.0,0,1
0,0,1,0,4,0,0,1,0,4,0,0,1,0,0,4,1,0,0,0,0,2,1,6,1,0,0,3,1,1.0,0.0,0.0,0.0,0.0,2020,340.0,0,1
0,0,1,0,4,0,0,1,0,4,0,0,1,0,0,4,1,0,0,0,0,2,1,6,1,0,0,3,1,1.0,0.0,0.0,0.0,0.0,2021,376.0,0,1
0,0,1,0,4,0,0,1,0,4,0,0,1,0,0,4,1,0,0,0,0,2,1,6,1,0,0,3,1,1.0,0.0,0.0,0.0,0.0,2021,376.0,0,1
0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,4,2,0,0,0,0,2,1,6,1,0,0,3,2,1.0,0.0,0.0,0.0,0.0,2021,234.0,0,1
0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,4,2,0,0,0,0,2,1,6,1,0,0,3,2,1.0,0.0,0.0,0.0,0.0,2021,234.0,0,1
0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,4,3,0,0,0,0,3,0,9,1,0,0,3,3,16.0,0.0,0.0,200.0,0.0,2020,4.0,0,4
0,0,1,1,2,0,0,1,1,2,0,1,1,0,0,4,4,0,0,0,0,2,1,6,1,0,0,3,4,6.0,0.0,0.0,0.0,0.0,2020,87.0,1,2
0,0,1,1,3,0,0,1,1,3,0,0,1,0,1,0,0,0,0,0,0,3,0,6,1,0,0,4,0,16.0,0.0,0.0,100.0,0.0,2021,312.0,0,1
0,0,1,1,3,0,0,1,1,3,0,0,1,0,1,0,0,0,0,0,0,3,0,6,1,0,0,4,0,16.0,0.0,0.0,100.0,0.0,2021,312.0,0,1
0,0,1,1,3,0,0,1,1,3,0,0,1,0,1,0,0,0,0,0,1,3,0,6,1,0,0,4,0,16.0,0.0,0.0,59.375,0.0,2022,416.0,0,1
0,0,1,1,3,0,0,1,1,3,0,0,1,0,1,0,0,0,0,0,1,3,0,6,1,0,0,4,0,16.0,0.0,0.0,59.375,0.0,2022,416.0,0,1
0,0,1,1,4,0,0,1,1,4,0,0,1,0,1,0,1,0,0,0,0,2,1,5,0,0,0,4,1,2.0,0.0,0.0,0.0,0.0,2020,62.0,0,1
0,0,1,1,4,0,0,1,1,4,0,0,1,0,1,0,1,0,0,0,0,2,1,5,0,0,0,4,1,2.0,0.0,0.0,0.0,0.0,2020,62.0,0,1
0,0,1,1,4,0,0,1,1,4,0,0,1,0,1,0,1,0,0,0,0,2,1,6,1,0,0,4,1,2.0,0.0,0.0,0.0,0.0,2021,80.0,0,1
0,0,1,1,4,0,0,1,1,4,0,0,1,0,1,0,1,0,0,0,0,2,1,6,1,0,0,4,1,2.0,0.0,0.0,0.0,0.0,2021,80.0,0,1
0,0,1,2,0,0,0,1,2,0,0,0,1,0,1,0,1,0,0,0,0,2,1,6,1,0,0,4,1,2.0,0.0,0.0,0.0,0.0,2020,150.0,0,1
0,0,1,2,0,0,0,1,2,0,0,0,1,0,1,0,1,0,0,0,0,2,1,6,1,0,0,4,1,2.0,0.0,0.0,0.0,0.0,2021,174.0,0,1
0,0,1,2,1,0,0,1,2,1,0,0,1,0,1,0,2,0,0,0,0,3,0,6,1,0,0,4,2,21.0,0.0,0.0,49.5,0.0,2021,39.0,0,1
0,0,1,2,1,0,0,1,2,1,0,0,1,0,1,0,2,0,0,0,0,3,0,6,1,0,0,4,2,21.0,0.0,0.0,49.5,0.0,2021,39.0,0,1
0,0,1,2,1,0,0,1,2,1,0,0,4,0,1,0,2,0,0,0,0,3,0,0,0,0,0,4,2,16.0,35.64,0.0,99.0,0.0,2019,3.0,0,1
0,0,1,2,1,0,0,1,2,1,0,0,4,0,1,0,2,0,0,0,0,3,0,0,0,0,0,4,2,16.0,35.64,0.0,99.0,0.0,2019,3.0,0,1
0,0,1,2,2,0,0,1,2,2,0,0,1,0,1,0,3,0,0,0,0,3,0,0,0,0,0,0,1,20.0,900.0,2900.0,1250.0,0.0,2020,3.0,1,3
0,0,1,2,2,0,0,1,2,2,0,0,1,0,1,0,3,0,0,0,0,3,0,0,0,0,0,0,1,20.0,900.0,2900.0,1250.0,0.0,2020,3.0,1,3
0,0,1,2,2,0,0,1,2,2,0,0,1,0,1,0,3,0,0,0,0,3,0,4,1,0,0,0,1,20.0,0.0,0.0,300.0,0.0,2021,8.0,1,3
0,0,1,2,2,0,0,1,2,2,0,0,1,0,1,0,3,0,0,0,0,3,0,4,1,0,0,0,1,20.0,0.0,0.0,300.0,0.0,2021,8.0,1,3
0,0,1,2,3,0,0,1,2,3,0,0,1,0,1,0,4,0,0,0,1,4,0,6,1,0,0,0,1,1.0,0.0,0.0,5.0,0.0,2021,25.0,0,1
0,0,1,2,3,0,0,1,2,3,0,0,1,0,1,0,4,0,0,0,1,4,0,6,1,0,0,0,1,1.0,0.0,0.0,5.0,0.0,2021,25.0,0,1
0,0,1,2,4,0,0,1,2,4,0,1,1,0,1,1,0,0,0,0,0,2,1,6,1,0,0,4,3,1.0,0.0,0.0,0.0,0.0,2020,17.0,0,1
0,0,1,3,0,0,0,1,3,0,0,0,1,0,1,1,1,0,0,0,0,3,0,6,1,0,0,0,1,1.5,0.0,0.0,52.5,0.0,2021,44.0,0,1
0,0,1,3,0,0,0,1,3,0,0,0,1,0,1,1,1,0,0,0,0,3,0,6,1,0,0,0,1,1.5,0.0,0.0,52.5,0.0,2021,44.0,0,1
0,0,1,3,1,0,0,1,3,1,0,1,1,0,1,1,2,0,0,0,0,2,1,6,1,0,0,4,4,2.0,0.0,0.0,0.0,0.0,2020,16.0,1,3
0,0,1,3,2,0,0,1,3,2,1,0,1,0,1,1,3,0,0,0,0,3,0,3,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,2020,6.0,1,2
0,0,1,3,2,0,0,1,3,2,1,0,1,0,1,1,3,0,0,0,0,3,0,3,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,2020,6.0,1,2
0,0,1,3,2,0,0,1,3,2,1,0,1,0,1,1,3,0,0,0,0,3,0,3,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,2021,8.0,1,2
0,0,1,3,2,0,0,1,3,2,1,0,1,0,1,1,3,0,0,0,0,3,0,3,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,2021,8.0,1,2
0,0,1,3,2,0,0,1,3,2,1,0,0,0,1,1,3,0,0,0,0,3,0,3,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,2019,2.0,1,2
0,0,1,3,2,0,0,1,3,2,1,0,0,0,1,1,3,0,0,0,0,3,0,3,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,2019,2.0,1,2
0,0,1,3,3,0,0,1,3,3,1,0,1,0,1,1,3,0,0,0,0,3,0,3,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,2020,2.0,1,2
0,0,1,3,4,0,0,1,3,4,1,0,1,0,1,1,3,0,0,0,0,3,0,3,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,2020,2.0,1,2
0,0,1,4,0,0,0,1,4,0,0,0,1,0,0,1,3,0,0,0,0,3,0,6,1,0,0,1,1,15.0,0.0,0.0,125.0,0.0,2021,18.0,0,1
0,0,1,4,0,0,0,1,4,0,0,0,1,0,0,1,3,0,0,0,0,3,0,6,1,0,0,1,1,15.0,0.0,0.0,125.0,0.0,2021,18.0,0,1
0,0,1,4,0,0,0,1,4,0,0,0,1,0,0,1,3,0,0,0,0,3,0,6,1,0,0,1,1,9.0,0.0,0.0,220.0,0.0,2022,66.0,0,1
0,0,1,4,0,0,0,1,4,0,0,0,1,0,0,1,3,0,0,0,0,3,0,6,1,0,0,1,1,9.0,0.0,0.0,220.0,0.0,2022,66.0,0,1
0,0,1,4,1,0,0,1,4,1,0,1,1,0,1,1,4,0,0,0,0,2,1,6,1,0,1,0,1,8.0,0.0,0.0,0.0,0.0,2020,21.0,0,1
0,0,1,4,2,0,0,1,4,2,0,1,1,0,1,2,0,0,0,0,0,2,1,6,1,0,1,0,2,24.0,0.0,0.0,0.0,0.0,2021,8.0,0,2
0,0,1,4,2,0,0,1,4,2,0,1,1,0,1,2,0,0,0,0,0,2,1,6,1,0,1,0,2,24.0,0.0,0.0,0.0,0.0,2021,8.0,0,2
0,0,1,4,3,0,0,1,4,3,0,0,1,0,1,2,1,0,0,0,2,0,0,6,1,0,0,1,4,2.0,0.0,0.0,100.0,0.0,2020,7.0,0,2
0,0,1,4,4,0,0,1,4,4,0,0,1,0,1,2,1,0,0,0,2,0,0,6,1,0,0,1,4,12.0,0.0,0.0,250.0,0.0,2020,18.0,0,2
0,0,2,0,0,0,0,2,0,0,0,0,1,0,1,2,2,0,0,0,0,3,0,6,1,0,0,0,1,20.0,0.0,0.0,300.0,0.0,2020,8.0,1,1
0,0,2,0,0,0,0,2,0,0,0,0,1,0,1,2,2,0,0,0,0,3,0,6,1,0,0,0,1,20.0,0.0,0.0,300.0,0.0,2020,8.0,1,1
0,0,2,0,0,0,0,2,0,0,0,0,1,0,1,2,2,0,0,0,0,3,0,6,1,0,0,0,1,20.0,0.0,0.0,75.0,0.0,2021,16.0,1,1
0,0,2,0,0,0,0,2,0,0,0,0,1,0,1,2,2,0,0,0,0,3,0,6,1,0,0,0,1,20.0,0.0,0.0,75.0,0.0,2021,16.0,1,1
0,0,2,0,1,0,0,2,0,1,0,0,1,0,1,2,3,0,0,0,0,3,0,6,1,0,0,2,1,20.0,0.0,0.0,37.5,0.0,2021,12.0,1,3
0,0,2,0,1,0,0,2,0,1,0,0,1,0,1,2,3,0,0,0,0,3,0,6,1,0,0,2,1,20.0,0.0,0.0,37.5,0.0,2021,12.0,1,3
0,0,2,0,2,0,0,2,0,2,0,0,1,0,1,2,2,0,0,0,0,3,0,6,1,0,0,0,1,24.0,0.0,0.0,100.0,0.0,2020,2.0,1,3
0,0,2,0,2,0,0,2,0,2,0,0,1,0,1,2,2,0,0,0,0,3,0,6,1,0,0,0,1,24.0,0.0,0.0,100.0,0.0,2020,2.0,1,3
0,0,2,0,3,0,0,2,0,3,0,0,1,0,1,2,4,0,0,0,2,1,1,5,0,0,0,0,1,4.0,0.0,0.0,122.529,0.0,2019,10.0,0,1
0,0,2,0,3,0,0,2,0,3,0,0,1,0,1,2,4,0,0,0,2,1,1,5,0,0,0,0,1,4.0,0.0,0.0,122.529,0.0,2019,10.0,0,1
0,0,2,0,3,0,0,2,0,3,0,0,1,0,1,2,4,0,0,0,2,1,1,5,0,0,0,0,1,4.0,0.0,0.0,245.058,0.0,2020,28.0,0,1
0,0,2,0,3,0,0,2,0,3,0,0,1,0,1,2,4,0,0,0,2,1,1,5,0,0,0,0,1,4.0,0.0,0.0,245.058,0.0,2020,28.0,0,1
0,0,2,0,3,0,0,2,0,3,0,0,1,0,1,2,4,0,0,0,2,1,1,6,1,0,0,0,1,4.0,0.0,0.0,61.26450000000001,0.0,2021,42.0,0,1
0,0,2,0,3,0,0,2,0,3,0,0,1,0,1,2,4,0,0,0,2,1,1,6,1,0,0,0,1,4.0,0.0,0.0,61.26450000000001,0.0,2021,42.0,0,1
0,0,2,0,3,0,0,2,0,3,0,0,1,0,1,2,4,0,0,0,2,1,1,6,1,0,0,0,1,4.0,0.0,0.0,129.8088,0.0,2022,52.0,0,1
0,0,2,0,3,0,0,2,0,3,0,0,1,0,1,2,4,0,0,0,2,1,1,6,1,0,0,0,1,4.0,0.0,0.0,129.8088,0.0,2022,52.0,0,1
0,0,2,0,4,0,0,2,0,4,0,0,1,0,0,0,3,0,0,0,0,3,0,6,1,0,0,0,3,1.0,0.0,0.0,20.0,0.0,2019,74.0,0,3
0,0,2,0,4,0,0,2,0,4,0,0,1,0,0,0,3,0,0,0,0,3,0,6,1,0,0,0,3,1.0,0.0,0.0,20.0,0.0,2019,74.0,0,3
0,0,2,0,4,0,0,2,0,4,0,0,1,0,0,0,3,0,0,0,0,3,0,2,1,0,0,0,3,1.0,0.0,0.0,40.0,0.0,2020,208.0,0,3
0,0,2,0,4,0,0,2,0,4,0,0,1,0,0,0,3,0,0,0,0,3,0,2,1,0,0,0,3,1.0,0.0,0.0,40.0,0.0,2020,208.0,0,3
0,0,2,0,4,0,0,2,0,4,0,0,1,0,0,0,3,0,0,0,0,3,0,6,1,0,0,0,3,1.0,0.0,0.0,50.0,0.0,2021,257.0,0,3
0,0,2,0,4,0,0,2,0,4,0,0,1,0,0,0,3,0,0,0,0,3,0,6,1,0,0,0,3,1.0,0.0,0.0,50.0,0.0,2021,257.0,0,3
0,0,2,1,0,0,0,2,1,0,0,0,1,0,1,3,0,0,0,0,0,3,0,0,0,0,1,0,3,16.0,2.666666666666667,25.0,8.333333333333334,0.0,2019,72.0,0,1
0,0,2,1,0,0,0,2,1,0,0,0,1,0,1,3,0,0,0,0,0,3,0,0,0,0,1,0,3,16.0,2.933333333333334,25.0,16.66666666666667,0.0,2020,132.0,0,1
0,0,2,1,1,0,0,2,1,1,0,0,1,0,1,3,1,0,0,0,0,3,0,9,1,0,0,0,1,19.0,0.0,0.0,4937.5,0.0,2021,147.0,1,4
0,0,2,1,1,0,0,2,1,1,0,0,1,0,1,3,1,0,0,0,0,3,0,9,1,0,0,0,1,19.0,0.0,0.0,4937.5,0.0,2021,147.0,1,4
0,0,2,1,1,0,0,2,1,1,0,0,1,0,1,3,1,0,0,0,0,3,0,6,1,0,0,0,1,19.0,0.0,0.0,1000.0,0.0,2022,165.0,1,4
0,0,2,1,1,0,0,2,1,1,0,0,1,0,1,3,1,0,0,0,0,3,0,6,1,0,0,0,1,19.0,0.0,0.0,1000.0,0.0,2022,165.0,1,4
0,0,2,1,1,0,0,2,1,1,0,0,2,0,1,3,1,0,0,0,0,3,0,9,1,0,0,0,1,19.0,0.0,0.0,987.5,0.0,2020,3.0,1,4
0,0,2,1,1,0,0,2,1,1,0,0,2,0,1,3,1,0,0,0,0,3,0,9,1,0,0,0,1,19.0,0.0,0.0,987.5,0.0,2020,3.0,1,4
0,0,2,1,2,0,0,2,1,2,0,2,1,0,1,3,2,0,0,0,0,2,1,6,1,0,0,0,1,1.0,0.0,0.0,0.0,0.0,2020,1170.0,1,3
0,0,2,1,2,0,0,2,1,2,0,2,1,0,1,3,2,0,0,0,0,2,1,6,1,0,0,0,1,1.0,0.0,0.0,0.0,0.0,2020,1170.0,1,3
0,0,2,1,2,0,0,2,1,2,0,2,1,0,1,3,2,0,0,0,0,2,1,6,1,0,0,0,1,1.0,0.0,0.0,0.0,0.0,2021,1272.0,1,3
0,0,2,1,2,0,0,2,1,2,0,2,1,0,1,3,2,0,0,0,0,2,1,6,1,0,0,0,1,1.0,0.0,0.0,0.0,0.0,2021,1272.0,1,3
0,0,2,1,3,0,0,2,1,3,0,1,1,0,1,3,2,0,0,0,0,2,1,0,1,0,0,0,1,1.0,0.0,0.0,0.0,0.0,2020,50.0,1,3
0,0,2,1,3,0,0,2,1,3,0,1,4,0,1,3,2,0,0,0,0,2,1,0,1,0,0,0,1,1.0,0.0,0.0,0.0,0.0,2019,5.0,1,3
